name,t_ms,in_size_bytes,out_size_bytes,nlines
v8/src/full-codegen.cc,3039,1670671,122608,58440
v8/src/handles.cc,2666,1626797,62464,55443
v8/src/execution.cc,2135,1600088,40160,55946
v8/src/disassembler.cc,1587,1586750,1864,55636
v8/src/dateparser.cc,1256,1203098,3664,40969
v8/src/elements.cc,2525,1218751,133616,41192
v8/src/objects.cc,10863,2222828,634784,75378
v8/src/deoptimizer.cc,2257,1657122,72800,57945
v8/src/ic.cc,3104,1672653,133272,58120
v8/src/ast.cc,2311,1449421,245776,49429
v8/src/debug-agent.cc,1983,1258851,23776,43332
v8/src/codegen.cc,1754,1603342,11656,55898
v8/src/compilation-cache.cc,1908,1245670,30304,42435
v8/src/hydrogen-instructions.cc,4293,1977017,668088,66323
third_party/webrtc/common_audio/signal_processing/energy.c,76,42571,1504,1216
third_party/webrtc/common_audio/signal_processing/filter_ar.c,100,44614,2080,1269
v8/src/factory.cc,4222,1495765,154264,48708
third_party/webrtc/common_audio/signal_processing/filter_ar_fast_q12.c,63,42997,1488,1226
third_party/webrtc/common_audio/signal_processing/filter_ma_fast_q12.c,74,42967,1432,1229
third_party/webrtc/common_audio/signal_processing/get_hanning_window.c,82,44275,2248,1257
third_party/webrtc/common_audio/signal_processing/get_scaling_square.c,86,42752,1576,1224
third_party/webrtc/common_audio/signal_processing/ilbc_specific_functions.c,106,45716,2848,1293
third_party/webrtc/common_audio/signal_processing/auto_correlation.c,94,43547,1880,1267
v8/src/debug.cc,3413,1737439,149832,61137
third_party/webrtc/common_audio/signal_processing/complex_fft.c,135,56480,5912,1573
third_party/webrtc/common_audio/signal_processing/lpc_to_refl_coef.c,61,43175,1832,1237
third_party/webrtc/common_audio/signal_processing/levinson_durbin.c,165,48630,3104,1439
third_party/webrtc/common_audio/signal_processing/randomization_functions.c,62,46484,3264,1294
third_party/webrtc/common_audio/signal_processing/min_max_operations.c,116,47228,3976,1431
third_party/webrtc/common_audio/signal_processing/refl_coef_to_lpc.c,77,43028,1504,1240
v8/src/compiler.cc,2610,1897263,38048,65989
third_party/webrtc/common_audio/signal_processing/resample_48khz.c,60,46808,5272,1387
third_party/webrtc/common_audio/signal_processing/resample.c,133,54432,8248,1675
third_party/webrtc/common_audio/signal_processing/resample_by_2.c,100,46567,2488,1315
v8/src/x64/ic-x64.cc,2499,1638967,75376,57212
third_party/webrtc/common_audio/signal_processing/auto_corr_to_refl_coef.c,98,44170,2336,1283
third_party/webrtc/common_audio/signal_processing/resample_by_2_internal.c,149,19556,5616,812
third_party/webrtc/common_audio/signal_processing/resample_fractional.c,108,47896,2904,1415
third_party/webrtc/common_audio/signal_processing/spl_version.c,45,42215,1624,1204
third_party/webrtc/common_audio/signal_processing/spl_sqrt_floor.c,69,43932,1584,1225
third_party/webrtc/common_audio/signal_processing/spl_sqrt.c,117,44486,1872,1295
third_party/webrtc/common_audio/signal_processing/splitting_filter.c,109,47031,3832,1347
third_party/webrtc/common_audio/signal_processing/sqrt_of_one_minus_x_squared.c,82,42613,1536,1215
third_party/webrtc/common_audio/signal_processing/vector_scaling_operations.c,81,45692,2904,1324
v8/src/x64/lithium-gap-resolver-x64.cc,2199,1950583,9528,66135
native_client/src/trusted/service_runtime/env_cleanser.c,170,102722,7688,4438
third_party/skia/third_party/glu/libtess/tessmono.c,75,34133,3696,1320
third_party/skia/third_party/glu/libtess/normal.c,232,52354,3736,1485
v8/src/platform-posix.cc,1259,1259660,21712,44381
v8/src/platform-linux.cc,1481,1290034,49072,45745
third_party/skia/third_party/glu/libtess/priorityq.c,209,44607,9000,1682
third_party/skia/third_party/glu/libtess/tess.c,235,50948,13568,2016
third_party/skia/third_party/glu/libtess/render.c,277,23487,7760,812
sdch/open-vcdiff/src/adler32.c,128,40476,2728,2063
third_party/skia/third_party/glu/libtess/sweep.c,401,66313,17952,2551
v8/src/heap.cc,6098,1794664,416016,62559
third_party/webrtc/modules/audio_coding/codecs/g722/g722_decode.c,179,72124,8256,2710
v8/src/x64/regexp-macro-assembler-x64.cc,2354,1528951,57440,53269
third_party/webrtc/modules/audio_coding/codecs/g722/g722_interface.c,80,50035,4704,1808
sdch/open-vcdiff/src/decodetable.cc,388,517692,7432,20365
sdch/open-vcdiff/src/addrcache.cc,604,567250,13568,22275
v8/src/x64/macro-assembler-x64.cc,2671,1684573,208904,59303
third_party/skia/third_party/glu/libtess/memalloc.c,51,43348,1240,1556
third_party/webrtc/modules/audio_coding/codecs/g711/g711_interface.c,112,28738,3120,1009
third_party/angle/src/compiler/debug.cpp,759,726719,1185,27874
third_party/skia/third_party/glu/libtess/dict.c,80,31119,2952,1224
third_party/webrtc/modules/audio_coding/codecs/g722/g722_encode.c,186,71751,8880,2716
third_party/skia/third_party/glu/libtess/mesh.c,145,40919,8192,1780
third_party/angle/src/compiler/BuiltInFunctionEmulator.cpp,864,711490,32720,27249
v8/src/x64/stub-cache-x64.cc,2708,1694216,137928,59214
third_party/angle/src/compiler/DetectRecursion.cpp,808,663841,15760,25586
third_party/skia/third_party/glu/libtess/geom.c,155,9962,5168,319
v8/src/runtime.cc,12602,2206591,600904,74234
sdch/open-vcdiff/src/codetable.cc,689,570454,13968,22314
v8/src/x64/full-codegen-x64.cc,3941,1792470,248216,62778
sdch/open-vcdiff/src/blockhash.cc,889,721196,21840,27856
sdch/open-vcdiff/src/instruction_map.cc,222,167654,6712,6241
sdch/open-vcdiff/src/logging.cc,285,485587,1848,19178
third_party/libsrtp/srtp/crypto/cipher/null_cipher.c,121,90637,3488,3709
sdch/open-vcdiff/src/varint_bigendian.cc,319,504271,12024,19827
third_party/angle/src/compiler/Compiler.cpp,1129,724669,30960,27656
third_party/libsrtp/srtp/crypto/cipher/aes_cbc.c,194,99969,11216,4128
sdch/open-vcdiff/src/headerparser.cc,431,514941,27456,20226
third_party/libsrtp/srtp/crypto/kernel/crypto_kernel.c,340,114040,16184,4527
third_party/libsrtp/srtp/crypto/cipher/aes_icm.c,148,101169,9112,4070
third_party/libevent/evbuffer.c,126,78632,9960,3049
third_party/libevent/buffer.c,185,109631,9080,4920
third_party/libevent/evutil.c,74,102211,3824,4655
sdch/open-vcdiff/src/encodetable.cc,597,590185,24552,23172
third_party/libevent/log.c,72,74095,6392,2795
sdch/open-vcdiff/src/vcdiffengine.cc,519,589185,14600,23135
third_party/libevent/evrpc.c,174,136466,12312,5923
third_party/libevent/poll.c,99,113822,5728,4913
third_party/libevent/strlcpy.c,63,26994,1296,1041
third_party/libevent/event_tagging.c,223,101474,11904,4328
third_party/libevent/signal.c,120,121598,9808,5285
third_party/libsrtp/srtp/srtp/srtp.c,612,151830,23336,6272
third_party/angle/src/compiler/InitializeDll.cpp,88,41656,4120,1974
third_party/libsrtp/srtp/crypto/cipher/aes.c,530,124923,22864,4408
third_party/libevent/select.c,226,114565,6488,4876
v8/src/x64/lithium-codegen-x64.cc,4355,2110514,264344,71206
third_party/libevent/event.c,410,129722,21152,5733
sdch/open-vcdiff/src/vcdecoder.cc,815,633492,56888,24720
third_party/angle/src/compiler/PoolAlloc.cpp,231,214592,9240,8619
third_party/libevent/http.c,590,242134,63008,9212
third_party/libevent/evdns.c,733,222422,61592,7806
third_party/angle/src/compiler/InfoSink.cpp,470,653368,7728,25154
third_party/angle/src/compiler/Initialize.cpp,2014,728013,184376,27627
third_party/angle/src/compiler/QualifierAlive.cpp,478,655514,6696,25281
third_party/angle/src/compiler/ForLoopUnroll.cpp,802,663222,11184,25485
third_party/angle/src/compiler/util.cpp,385,528930,2600,20708
third_party/angle/src/compiler/preprocessor/atom.c,161,80059,16648,3067
third_party/angle/src/compiler/preprocessor/cppstruct.c,61,51748,4872,2087
third_party/angle/src/compiler/preprocessor/memory.c,61,46140,2808,1659
third_party/angle/src/compiler/RemoveTree.cpp,490,655861,7832,25315
third_party/angle/src/compiler/IntermTraverse.cpp,890,658241,22872,25506
third_party/angle/src/compiler/preprocessor/symbols.c,83,69333,5640,2633
v8/src/x64/lithium-x64.cc,4850,2024308,664000,68249
media/base/cpu_features_x86.cc,42,1220,1920,85
third_party/angle/src/compiler/parseConst.cpp,899,718857,17272,27416
third_party/angle/src/compiler/ossource_posix.cpp,76,39860,2200,1889
third_party/angle/src/compiler/preprocessor/tokens.c,158,78101,9312,2869
third_party/libevent/epoll_sub.c,49,35158,2000,1913
third_party/angle/src/compiler/preprocessor/scanner.c,185,85774,15096,3000
third_party/angle/src/compiler/MapLongVariableNames.cpp,1021,663776,43160,25581
third_party/libsrtp/srtp/srtp/ekt.c,86,112195,3648,4593
third_party/libsrtp/srtp/crypto/hash/null_auth.c,71,88517,3720,3605
third_party/libevent/epoll.c,145,118673,6600,5221
third_party/libsrtp/srtp/crypto/kernel/err.c,63,84243,2112,3412
third_party/libsrtp/srtp/crypto/kernel/alloc.c,71,98705,2088,4030
third_party/libsrtp/srtp/crypto/hash/auth.c,132,88093,3304,3606
third_party/libsrtp/srtp/crypto/hash/hmac.c,131,91037,5968,3753
third_party/libsrtp/srtp/crypto/kernel/key.c,60,86817,1944,3540
third_party/libsrtp/srtp/crypto/cipher/cipher.c,161,96358,5088,3942
third_party/angle/src/compiler/preprocessor/cpp.c,488,101495,41952,3565
third_party/libsrtp/srtp/crypto/replay/ut_sim.c,53,32535,2168,1284
third_party/libsrtp/srtp/crypto/replay/rdb.c,74,85653,2368,3480
third_party/libsrtp/srtp/crypto/hash/sha1.c,190,98831,6384,3732
third_party/libsrtp/srtp/crypto/math/gf2_8.c,91,83209,1864,3362
third_party/libsrtp/srtp/crypto/rng/ctr_prng.c,83,92372,2472,3775
third_party/libsrtp/srtp/crypto/replay/rdbx.c,99,88694,4288,3650
third_party/angle/src/compiler/intermOut.cpp,1217,714044,80072,27203
third_party/libsrtp/srtp/crypto/rng/prng.c,90,94133,3664,3847
third_party/libsrtp/srtp/crypto/rng/rand_source.c,63,85025,2560,3460
third_party/angle/src/compiler/glslang_lex.cpp,1385,835085,64096,31880
third_party/libsrtp/srtp/crypto/math/stat.c,151,90472,5264,3752
third_party/libwebp/dsp/yuv.c,59,18214,1984,722
third_party/libwebp/dsp/cpu.c,36,10988,1496,401
third_party/angle/src/compiler/ValidateLimitations.cpp,924,727215,28176,27717
third_party/libsrtp/srtp/crypto/math/datatypes.c,210,91720,11304,3860
third_party/angle/src/compiler/Intermediate.cpp,1360,901069,60536,34138
native_client/src/shared/gio/gio.c,75,84389,4752,4025
native_client/src/shared/gio/gprintf.c,91,82238,2192,3934
third_party/libwebp/dsp/dec_neon.c,28,247,826,9
native_client/src/shared/gio/gio_pio.c,79,95813,3816,4507
